"(5, 2)",[ 0.35995211  0.26614802  3.06656186  4.82045203  0.47800761  1.01053607],54901,[ 0.00939306  0.00855201  0.14069307  0.81278848  0.01057007  0.0180033 ],S,"['S', 'W', 'poke', 'stay', 'N', 'E']"
"(6, 6)",[ 2.01270723  0.92910284  2.33835326  0.73820068  1.49020963  2.49414935],33601,[ 0.19177986  0.06489326  0.26560074  0.05361568  0.11373266  0.3103778 ],poke,"['poke', 'W', 'N', 'stay', 'E', 'S']"
"(0, 1)",[ 1.04888224  2.62652601  0.08558394  1.50766399  1.55619817  3.17613172],54302,[ 0.05599139  0.27119598  0.02136811  0.08858652  0.09299204  0.46986595],poke,"['poke', 'E', 'stay', 'S', 'N', 'W']"
"(1, 1)","[  2.87667179e-04   1.53216431e-01   3.47410130e-01   3.03098272e+00
   2.22073969e-04   6.46822202e+00]",56700,[ 0.00149378  0.00174061  0.00211368  0.03093857  0.00149368  0.96221968],poke,"['poke', 'S', 'W', 'E', 'N', 'stay']"
"(1, 6)",[ 3.06485739  0.23810149  0.82386991  0.86953144  1.08766169  3.91651373],56104,[ 0.26603793  0.01575067  0.02829405  0.02961595  0.0368348   0.62346661],poke,"['poke', 'N', 'stay', 'S', 'W', 'E']"
"(5, 0)",[ 0.11645497  1.54588731  2.33972469  2.50718147  0.91418715  2.5777325 ],48603,[ 0.02546116  0.10633414  0.23519707  0.27807213  0.05653649  0.29839902],poke,"['poke', 'S', 'W', 'E', 'stay', 'N']"
"(4, 1)",[ 0.73733755  0.2393543   2.35907618  3.32577382  1.74560162  1.59390096],49801,[ 0.03988119  0.024238    0.20187396  0.53077657  0.10930793  0.09392234],S,"['S', 'W', 'stay', 'poke', 'N', 'E']"
"(3, 3)","[  2.47032823e-323   2.10319407e-082   1.52553566e-048   4.54894910e-018
   9.06406641e-028   1.00000000e+001]",56789,"[  4.53896263e-05   4.53896263e-05   4.53896263e-05   4.53896263e-05
   4.53896263e-05   9.99773052e-01]",poke,"['poke', 'stay', 'W', 'S', 'N', 'E']"
"(6, 4)",[ 1.84438098  0.20104026  2.98259671  0.58721716  0.56561332  3.82080061],54601,[ 0.08268409  0.01598557  0.25807312  0.02352029  0.02301761  0.59671932],poke,"['poke', 'W', 'N', 'S', 'stay', 'E']"
"(0, 2)",[ 1.06604597  5.47619204  0.07926219  0.31941198  2.12305612  0.93761881],54303,[ 0.01137845  0.93623558  0.00424159  0.00539292  0.03274438  0.01000709],E,"['E', 'stay', 'N', 'poke', 'S', 'W']"
"(0, 4)",[ 1.13750398  6.00073815  0.47611706  1.16416566  0.14317496  1.0746386 ],51600,[ 0.00750219  0.97110008  0.00387214  0.0077049   0.0027756   0.00704508],E,"['E', 'S', 'N', 'poke', 'W', 'stay']"
"(1, 3)","[  9.28034511e-02   9.79655715e+00   1.35488880e-02   1.77598479e-04
   7.33775798e-02   2.47213975e-02]",53101,"[  6.10361849e-05   9.99710061e-01   5.63855161e-05   5.56365873e-05
   5.98619460e-05   5.70190162e-05]",E,"['E', 'N', 'stay', 'poke', 'W', 'S']"
"(5, 4)","[  5.21914566e-01   3.75072398e-01   3.76540342e+00   3.88176657e-04
   5.37901264e-01   4.79982679e+00]",55814,[ 0.0098828   0.00853311  0.2532266   0.00586657  0.01004206  0.71244886],poke,"['poke', 'W', 'stay', 'N', 'E', 'S']"
"(4, 3)","[  2.99703001e-04   3.15991113e-03   1.90896053e+00   6.20243690e-02
   7.57551899e-26   8.02563605e+00]",54897,"[  3.25917644e-04   3.26851171e-04   2.19800531e-03   3.46668638e-04
   3.25819980e-04   9.96476737e-01]",poke,"['poke', 'W', 'S', 'E', 'N', 'stay']"
"(1, 2)",[ 0.06478747  4.77324123  0.00698095  2.47817415  0.3874403   2.28988858],56702,[ 0.00742769  0.82358664  0.0070105   0.08298017  0.01025605  0.06873896],E,"['E', 'S', 'poke', 'stay', 'N', 'W']"
"(1, 4)",[ 0.34494096  8.85527511  0.11860591  0.03895576  0.06986     0.57520604],56106,"[  2.01192086e-04   9.99084115e-01   1.60440805e-04   1.48157352e-04
   1.52807527e-04   2.53287494e-04]",E,"['E', 'poke', 'N', 'W', 'stay', 'S']"
"(5, 3)","[  5.20107174e-03   4.19388533e-01   5.31559262e+00   2.61881535e+00
   3.90715789e-03   1.63800897e+00]",55808,[ 0.00445022  0.00673381  0.90085631  0.06073794  0.00444447  0.02277725],W,"['W', 'S', 'poke', 'E', 'N', 'stay']"
"(0, 3)",[ 1.91321105  3.82332022  1.64116573  1.71576439  0.29901222  0.60847884],52800,[ 0.10197043  0.68869052  0.07768308  0.08369976  0.02029722  0.02765898],E,"['E', 'N', 'S', 'W', 'poke', 'stay']"
"(4, 0)",[ 1.20266406  0.08798463  2.98383971  0.66039804  1.63200221  3.43465037],36303,[ 0.05347342  0.01754037  0.31746272  0.03109101  0.08214803  0.49828444],poke,"['poke', 'W', 'stay', 'N', 'S', 'E']"
"(5, 1)",[ 0.9837183   0.43463659  1.17985759  4.03360751  0.93685936  2.43207374],53700,[ 0.03434359  0.01983273  0.04178572  0.72509645  0.03277141  0.14617009],S,"['S', 'poke', 'W', 'N', 'stay', 'E']"
